handle,tag,depth,seed,type,language,language_default_policy,lang_confidence,n_msgs,n_posts,n_text_msgs,n_forward_msgs,median_views,subscribers,modal_hour_utc
sosedi_arkhangelsk,ru,2,False,channel,ru,ru,0.994,138,122,122,0,365,878,6
sosediasia,ru,2,False,channel,ru,ru,1.0,622,595,595,9,172,5788,14
sosedikavkaz,ru,2,False,channel,ru,ru,1.0,1012,1006,984,43,186,6550,5
sosindex,ru,2,False,channel,ru,ru,0.986,57,54,40,11,2508,6739,6
sostav,ru,2,False,channel,ru,ru,1.0,524,387,385,0,5535,55324,13
sotaproject,ru,2,False,channel,ru,ru,1.0,1366,980,978,14,26712,103347,8
sotavisionmedia,ru,2,False,channel,ru,ru,1.0,1154,784,774,3,1870,37117,11
soul_julli,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,,
south_fort,ru,2,False,channel,ru,ru,0.989,545,498,489,4,14709,8341,8
south_now,ru,2,False,channel,ru,ru,1.0,2077,1092,1092,133,4664,10985,12
southairports,ru,2,False,channel,ru,ru,1.0,53,35,32,13,788,2410,9
southmosobl,ru,2,False,channel,ru,ru,0.991,298,284,278,42,254,12296,8
souz_zhenshin,ru,2,False,channel,ru,ru,1.0,276,144,141,184,460,764,12
sov_gerald,ru,2,False,channel,ru,ru,0.988,114,65,59,28,2043,1767,13
sovanaglobus,ru,2,False,channel,ru,ru,1.0,211,211,211,2,980,2037,10
sovestdagestana,ru,2,False,channel,ru,ru,1.0,340,315,313,112,2828,13585,10
sovetnikvmir,ru,2,False,channel,ru,ru,1.0,591,548,531,140,6197,18135,5
sovetniky,ru,2,False,channel,ru,ru,0.997,54,54,53,1,10,7,11
sovfedinfo,ru,2,False,channel,ru,ru,1.0,61,61,61,1,152,2305,10
sovgavan,ru,2,False,channel,ru,ru,0.997,153,120,108,64,2183,6111,6
sovietaltai,ru,2,False,channel,ru,ru,1.0,20,20,18,6,74,240,7
sovinformbureau,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,12,
sovrep,ru,2,False,channel,ru,ru,1.0,840,490,483,8,457,8980,11
sovsakhalin,ru,2,False,channel,ru,ru,0.997,88,85,81,0,714,1266,10
sovsecretno,ru,2,False,channel,ru,ru,1.0,945,863,858,334,283,1668,14
sovsekretnoru,ru,2,False,channel,ru,ru,1.0,298,236,233,1,896,4127,6
sovzvezd,ru,2,False,channel,ru,ru,1.0,526,315,295,286,561,1734,2
soymem,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,10637,
soyuzinfo,ru,2,False,channel,ru,ru,1.0,183,173,173,84,970,181,9
soyuzmultfilm_official,ru,2,False,channel,ru,ru,1.0,10,9,9,2,5428,16665,11
soyuznoe,ru,2,False,channel,ru,ru,1.0,196,192,192,0,66,240,9
sp_khort,ru,2,False,channel,uk,uk,1.0,6,6,6,0,1170,318,11
spacefmpmsu,ru,2,False,channel,ru,ru,1.0,50,23,21,0,412,1560,15
spaceman110519,ru,2,False,channel,ru,ru,1.0,14,5,5,0,172,173,9
spacex_rus,ru,2,False,channel,ru,ru,1.0,632,260,255,0,2732,16697,16
spasskoelutovinovo,ru,2,False,channel,ru,ru,1.0,62,19,16,0,206,634,14
spb_danger,ru,2,False,channel,ru,ru,1.0,816,645,632,39,141,2238,18
spbgovno,ru,2,False,channel,ru,ru,1.0,247,200,196,106,7432,6172,9
spbgs,ru,2,False,channel,ru,ru,1.0,258,207,199,0,3074,26827,13
spbmetro,ru,2,False,channel,ru,ru,1.0,9,8,6,1,81593,102593,7
spbmoy,ru,2,False,channel,ru,ru,1.0,336,121,121,26,6352,12291,9
spbpogoda,ru,2,False,channel,ru,ru,1.0,62,59,56,29,13368,8463,3
spbpomogaet,ru,2,False,channel,ru,ru,1.0,44,21,20,0,2691,3213,9
spbprav,ru,2,False,channel,ru,ru,1.0,561,201,201,0,3792,19453,7
spdnr,ru,2,False,channel,ru,ru,0.997,368,319,290,38,32,193,8
spec_zaschita,ru,2,False,channel,ru,ru,1.0,50,25,23,1,1454,3909,12
special_forces_officers,ru,2,False,channel,ru,ru,1.0,59,50,44,23,14040,12797,5
specnaz_com,ru,2,False,channel,ru,ru,0.993,177,100,95,46,6580,27799,8
specops2022,ru,2,False,channel,ru,ru,0.994,1171,825,825,181,13059,18750,9
specpro,ru,2,False,channel,ru,ru,0.989,288,187,176,109,1583,7835,21
specprosk,ru,2,False,channel,ru,ru,1.0,3,3,3,2,7373,1116,7
spetnazdnr,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,440,
spezinform_ru,ru,2,False,channel,ru,ru,1.0,3,3,2,0,3319,957,8
spg_moskva,ru,2,False,channel,ru,ru,1.0,91,40,40,19,200,1942,19
spine_surg,ru,2,False,channel,unknown,ru,0.0,14,8,8,14,1097,743,15
spirincheb,ru,2,False,channel,ru,ru,1.0,237,85,81,40,2869,1606,11
spitsbergen_misc,ru,2,False,channel,ru,ru,1.0,112,76,75,8,480,2383,18
spletni_tg,ru,2,False,channel,ru,ru,0.997,439,304,300,11,106929,189450,10
spmutoday,ru,2,False,channel,ru,ru,1.0,7,7,6,2,2933,2910,12
spo_msu,ru,2,False,channel,ru,ru,1.0,55,36,34,2,347,841,13
spoiler236,ru,2,False,channel,ru,ru,1.0,186,155,154,181,866,1233,12
sport_aurora,ru,2,False,channel,ru,ru,1.0,164,145,143,0,520,13336,8
sportbox_ru,ru,2,False,channel,ru,ru,0.984,691,691,691,0,594,1786,12
sportmasterofficial,ru,2,False,channel,ru,ru,1.0,270,114,103,67,31272,358908,12
sportpsihologivanova,ru,2,False,channel,ru,ru,1.0,33,22,14,5,231,2367,7
sportsarae,ru,2,False,channel,ru,ru,0.994,647,587,571,104,1090,6341,16
spravedliv0stiradi,ru,2,False,channel,ru,ru,0.997,58,57,54,0,5634,2668,8
spravedliv62,ru,2,False,channel,ru,ru,1.0,1,1,1,0,8017,562,8
spravedlivo,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,33,
sputnik_vaccine,ru,2,False,channel,ru,ru,1.0,51,51,51,1,1975,4540,18
srach,ru,2,False,empty,unknown,unknown,0.0,0,0,0,0,,8,
srazvorotneva,ru,2,False,channel,ru,ru,0.996,58,41,40,15,439,5914,12
